id	isolate	aliases	country	continent	region	state	species	year	source	detailed_source	collector	location	comments	bioproject_accession	biosample_accession	NCBI_assembly_accession	run_accession	sender	curator	date_entered	datestamp	BORR05565	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
3517	FNG-2Z15		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		254	74	34	201	209	217	182	36	802
3518	NG-Z6		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae, culture	Karen D. McCoy							2	202	2023-01-26	2024-03-19		48	34	34	44	37	42	205	39	803
3519	NG_Z6		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		48	34	34	44	37	42	205	39	803
3520	17-17Z1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae female feeding on kittiwake	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	231	243	144	161	920
3521	17-29Z1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on razorbill, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3522	17-30N1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on kittiwake	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	225	804
3523	17-30N2		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on kittiwake	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	225	804
3524	17-45N2		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on kittiwake	Karen D. McCoy							2	2	2023-01-26	2023-01-26		48	34	34	44	37	42	205	39	803
3525	17-54Z3		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae female feeding on common guillemot, culture	Karen D. McCoy		originally ST921 -> correction of uvrA allele (SLV of ST802); now ST802					2	2	2023-01-26	2024-06-25		254	74	34	201	209	217	182	36	802
3526	17-54Z7		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae female feeding on common guillemot	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	28	134	160	34	291	144	161	922
3527	17-56Z1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin, culture	Karen D. McCoy							2	202	2023-01-26	2024-03-19		185	147	134	160	34	170	144	161	575
3528	17-58N4		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	225	804
3529	17-59N1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3530	17-61N2		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3531	17-61N4		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		228	190	195	36	208	216	181	266	923
3532	17-61N5		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3533	17-61N6		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3534	17-61N8		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3535	17-63N4		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		254	74	34	201	209	217	182	36	802
3536	17-63N8		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		48	34	34	44	37	42	205	39	803
3537	17-65Z2		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae male feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		254	74	34	201	209	217	182	36	802
3538	18-Z3	PF3Z	Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		48	34	34	44	37	42	205	39	803
3539	18-Z14	PF14Z	Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3540	18-Z18	PF18Z	Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		48	34	34	44	37	42	205	39	803
3541	18-Z24K	PF24Z	Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3542	18-Z51	PF51Z	Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		254	74	34	201	209	217	182	36	802
3543	18-Z84	PF84Z	Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170	144	161	575
3544	18-Z109	PF109Z	Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		254	74	34	201	209	217	182	36	802
3545	FNG-1Z3		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26					201	207				
3546	FNG-1Z4		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		226	28	34	197		215		200	
3547	FNG-2Z13		Norway	Europe	Hornoeya		Borrelia burgdorferi sensu stricto	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26				1	1	1			1	
3548	FNG-2Z19		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26					201		217			
3549	NG-Z5		Norway	Europe	Hornoeya		Borrelia burgdorferi sensu stricto	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		1	1	1	1		1		1	
3550	NG-Z10		Norway	Europe	Hornoeya		Borrelia burgdorferi sensu stricto	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		1	1	1	1	1		1		
3551	17-17Z3		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae female feeding on kittiwake	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	243		161	
3552	17-17N1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on kittiwake	Karen D. McCoy							2	2	2023-01-26	2023-01-26			147		160	34	243	253	161	
3553	17-29Z1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on razorbill	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34	170		161	
3554	17-56Z1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	202	2023-01-26	2024-03-19		185		134	160	34		144	161	
3555	17-58N4		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		254		134	160	34	170	144	225	
3556	17-61N2		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26			28		160	34		144	161	
3557	17-61N4		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae	Karen D. McCoy							2	2	2023-01-26	2023-01-26		224	147	134	160	34	170		161	
3558	17-63N0		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26			147	134	160		170	144	161	
3559	17-63N12		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae nymph feeding on puffin	Karen D. McCoy							2	2	2023-01-26	2023-01-26		228	34	233	44	34		205	39	
3560	18-Z35		Norway	Europe	Hornoeya		Borrelia garinii	2018	tick	Ixodes uriae, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		185	147	134	160	34		144	161	
3561	17-63N1		Norway	Europe	Hornoeya		Borrelia garinii	2017	tick	Ixodes uriae, culture	Karen D. McCoy							2	2	2023-01-26	2023-01-26		228	190	195	36	208	216	181	266	923
3562	Åfä400A		Åland Islands	Europe			Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING Study					209	202	2023-03-14	2023-03-14		45	33	34	290	36	38	30	38	1052
3563	Ofä4		Sweden	Europe	Osby	Skåne	Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-03-15	2023-07-06		40	25	26	36	27	34	25	31	82
3564	GR24	LIZ59	Portugal	Europe	Grandola		Borrelia lusitaniae	2023	tick	Ixodes from Lizard	Claudia Norte		NB: mixed species alleles as rplB allele 22 is mostly found B. afzelii and uvrA allele 14 is also found in B. burgdorferi s.s.					161	202	2023-03-16	2024-11-06		27	19	18	22	14	22	22	14	1054
3565	GR25	LIZ65	Portugal	Europe	Grandola		Borrelia lusitaniae	2023	tick	Ixodes from Lizard	Claudia Norte							161	2	2023-03-16	2023-03-16		32	18	258	22	14	22	14	290	1055
3566	LESIH1	LZ90	Morocco	Africa	Larache		Borrelia lusitaniae	2023	tick	Ixodes from Lizard	Claudia Norte							161	2	2023-03-16	2023-03-16		323	15	18	22	13	22	13	22	1056
3567	Åfä253A		Åland Islands	Europe			Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-03-20	2023-03-20		43	28	30	90	87	323	28	33	1057
3568	Grfä76b		Sweden	Europe	Gränna	Vättern	Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-04-11	2023-04-11		112	80	78	99	81	39	79	291	1058
3569	Kifä134a		Sweden	Europe	Kisa	Östergötland	Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING_Study					209	202	2023-04-18	2023-04-18								275		
3570	15-0078		USA	North America		MD	Borrelia burgdorferi sensu stricto	2014	human	Synovial Fluid	CDC							52	2	2023-05-04	2023-05-04		4	1	1	1	224	6	1	217	754
3571	15-1849		USA	North America		VA	Borrelia burgdorferi sensu stricto	2014	human	Synovial Fluid	CDC							52	2	2023-05-04	2023-05-04		4	4	3	217	3	3	3	3	755
3572	15-3449		USA	North America		MN	Borrelia burgdorferi sensu stricto	2015	human	Blood	CDC							52	2	2023-05-04	2023-05-04		4	12	1	11	2	15	1	2	756
3573	15-3913		USA	North America		WI	Borrelia burgdorferi sensu stricto	2015	human	Blood	CDC							52	2	2023-05-04	2023-05-04		128	12	1	8	1	6	1	10	757
3574	15-4205		USA	North America		PA	Borrelia burgdorferi sensu stricto	2015	human	Synovial Fluid	CDC							52	2	2023-05-04	2023-05-04		14	1	1	2	1	6	200	7	758
3575	15-5375		USA	North America		NY	Borrelia burgdorferi sensu stricto	2015	human	Synovial Fluid	CDC							52	2	2023-05-04	2023-05-04		4	1	1	1	225	6	1	7	759
3576	15-8607		USA	North America		PA	Borrelia burgdorferi sensu stricto	2015	human	Synovial Fluid	CDC							52	2	2023-05-04	2023-05-04		5	5	188	5	5	5	1	6	760
3577	15-8808		USA	North America		VA	Borrelia burgdorferi sensu stricto	2015	human	Synovial Fluid	CDC							52	2	2023-05-04	2023-05-04		4	1	189	1	1	6	1	7	761
3578	15-5922		USA	North America		MN	Borrelia mayonii	2015	human	Blood	CDC							52	2	2023-05-04	2023-05-04		218	182	166	218	201	209	174	193	762
3579	15-5636		USA	North America		MT	Borrelia nietonii	2015	human	Blood	CDC							52	2	2023-05-04	2024-09-10		246	206	190	219	226	236	201	218	763
3580	15-3581		USA	North America		WI	Borrelia sp.	2015	human	Blood	CDC		Candidatus B. johnsonii					52	2	2023-05-04	2025-10-22		247	207	191	220	227	237	202	219	764
3581	Söfä69		Sweden	Europe	Söderköping	Östergötland	Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-22	2023-05-22		42	27	29	96	29	36	27	33	1059
3582	Lidfä14		Sweden	Europe	Lidköping	Vänern	Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-22	2023-05-22		42	29	29	90	29	37	27	35	1060
3583	Hafä34		Sweden	Europe	Habo	Vättern	Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING_Study					209	202	2023-05-22	2023-05-22		42	34	34	38	29	42	27	39	1061
3584	Åfä543		Åland Islands	Europe			Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING study					209	202	2023-05-24	2023-05-24			285							
3585	Kafä18		Sweden	Europe	Kalmar	Sydöstra	Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-24	2023-05-24		46	76	29	43		40	276	37	
3586	Åfä227E		Åland Islands	Europe			Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-24	2023-05-24		324	35		38	29	39	27	40	
3587	Vänfä5		Sweden	Europe	Vänhem	Skåne	Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-24	2023-05-24		42	27	29	38	29		27	33	
3588	Vänfä53		Sweden	Europe	Vänhem	Skåne	Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING study					209	202	2023-05-24	2023-05-24		99	77		284			82	33	
3589	Åfä188B		Åland Islands	Europe			Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING Study					209	202	2023-05-24	2023-05-24		99	286	29	38		36	27	289	
3590	Åfä91		Åland Islands	Europe			Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-24	2023-05-24			27	29	38		322	27	33	
3591	Åfä559		Åland Islands	Europe			Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-25	2023-05-25		43	28	30	39	299	36	28	34	1062
3592	Åfä250		Åland Islands	Europe			Borrelia garinii	2008	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-25	2023-05-25			292	78	96	81		27		
3593	Kifä160		Sweden	Europe	Kisa	Östergötland	Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-05-26	2023-05-26		95	74	29	38	298	39	274	85	1063
3594	Åfä326		Åland Islands	Europe			Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING-Study					209	202	2023-06-06	2023-06-06		42	27	29	38	29	321	27	33	1064
3595	Lafä17		Sweden	Europe	Ljungdala	Skåne	Borrelia garinii	2009	tick	attached to human	Peter Wilhelmson		STING-Study					209	2	2023-06-15	2023-06-15		44	29	259	291	31	37	29	35	1065
3596	IBS114		France	Europe			Borrelia afzelii	2018	human	EM	Benoit Jaulhac							109	202	2023-10-16	2023-10-16		109	145	23	31	23	30	23	29	1067
3597	IBS119		France	Europe			Borrelia afzelii	2019	human	EM	Benoit Jaulhac							109	202	2023-10-16	2023-10-16		109	24	23	32	20	27	183	28	1068
3598	IBS130		France	Europe			Borrelia afzelii	2021	human	ACA	Benoit Jaulhac							109	202	2023-10-16	2023-10-16		114	24	24	31	22	92	24	28	1069
3599	C31/22		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia afzelii	2022	tick									126	202	2023-12-06	2023-12-06		172	212	115	30	85	240	23	29	1081
3600	C51/22		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia lusitaniae	2022	tick									126	202	2023-12-06	2023-12-06		248	19	18	22	14	22	14	25	1047
3601	23/C9		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia garinii	2023	tick									126	202	2023-12-07	2023-12-07		42	27	49	38	29	36	27	33	1073
3602	23/C26		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia afzelii	2023	tick				NB: mixed species alleles as pyrG allele 27 is mostly found in B. garinii					126	2	2023-12-07	2024-10-29		36	81	89	89	27	29	23	155	1074
3603	23/C195		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia lusitaniae	2023	tick				NB: mixed species alleles as clpX allele 80 and pyrG allele 81 are mostly found in B. garinii					126	202	2023-12-07	2024-11-06		101	80	94	27	81	118	101	46	1075
3604	23/C90		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia garinii	2023	tick				NB: mixed species alleles as clpA allele 36 is mostly found in B. afzelii					126	202	2023-12-07	2024-11-06		36	25	26	36	27	34	25	31	1076
3605	23/Z32		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia garinii	2023	tick				NB: mixed species alleles as rplB allele 23 is mostly found in B. afzelii					126	2	2023-12-07	2024-10-29		112	80	78	99	81	80	23	87	1077
3606	22/U14		Italy	Europe	Belluno Province,Veneto	Veneto Region	Borrelia afzelii	2023	tick									126	202	2023-12-07	2023-12-07		35	23	22	34	20	27	23	99	1078
3607	HD528_1		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.215893, 10.322521	NB: mixed species alleles as clpA allele 14 is mostly found in B. burgdorferi s.s.					164	2	2023-12-07	2024-10-29		14	24	23	49	97	32	23	29	1079
3608	HD37_2		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.242647, 10.312944						164	202	2023-12-07	2023-12-07		35	24	96	31	85	172	23	28	1080
3609	HD1882_2		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.275152, 10.446758						164	202	2023-12-07	2023-12-07		35	24	96	31	85	172	23	28	1080
3610	HD51_3		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.242647, 10.312944						164	202	2023-12-07	2023-12-07		36	82	96	31	96	29	23	28	1082
3611	HD461_4		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		36	82	96	31	92	29	23	28	1083
3612	HD746_5		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			50.998095, 10.432946						164	202	2023-12-07	2023-12-07		36	82	96	31	92	29	23	30	1084
3613	HD453_6		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		36	150	96	31	119	29	23	28	1085
3614	HD153_7		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2020	tick			51.178938, 10.378341	NB: mixed species alleles; clpX allele 36, recG allele 44 and rplB allele 35 are mostly found in B. valaisiana					164	2	2023-12-07	2024-10-29		42	36	29	38	29	44	35	33	1086
3615	HD1033_8		Germany	Europe	Hainich- Dün	Thuringia	Borrelia valaisiana	2021	tick			51.273586, 10.41041	NB: mixed species alleles as clpA allele 42 is mostly found in B. garinii					164	202	2023-12-07	2024-11-06		42	37	37	45	39	79	36	86	1087
3616	HD6_9		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2020	tick			51.185359, 10.323619	NB: mixed species alleles as recG allele 82 is mostly found in B. valaisiana					164	202	2023-12-07	2024-11-06		43	28	30	90	87	82	28	34	1088
3617	HD188_10		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2020	tick			51.130245, 10.381147						164	202	2023-12-07	2023-12-07		43	28	30	90	87	40	28	34	1089
3618	HD366_11		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2020	tick			51.363964, 10.261105						164	202	2023-12-07	2023-12-07		43	28	30	90	82	84	28	33	1090
3619	HD179_12		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2020	tick			51.130245, 10.381147	NB: mixed species alleles as clpX allele 75 and rplB allele 35 are mostly found in B. valaisiana					164	2	2023-12-07	2024-10-29		45	75	34	36	36	38	35	38	1091
3620	HD442_13		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2020	tick			51.301974, 10.435816	NB: mixed species alleles as rplB allele 35 is mostly found in B. valaisiana					164	2	2023-12-07	2024-10-29		48	34	34	44	37	42	35	39	1092
3621	HD818_14		Germany	Europe	Hainich- Dün	Thuringia	Borrelia valaisiana	2021	tick			51.111438, 10.425966	NB: mixed species alleles as clpX allele 48 and uvrA allele 39 are mostly found in B. garinii					164	202	2023-12-07	2024-11-06		48	36	36	45	38	44	35	39	1093
3622	HD739_15		Germany	Europe	Hainich- Dün	Thuringia	Borrelia valaisiana	2021	tick			50.998095, 10.432946	NB: mixed species alleles as uvrA allele 34 is mostly found in B. garinii					164	202	2023-12-07	2024-11-06		49	37	37	45	39	45	36	34	1094
3623	HD1738_16		Germany	Europe	Hainich- Dün	Thuringia	Borrelia valaisiana	2021	tick			51.263882, 10.240956						164	202	2023-12-07	2023-12-07		50	35	37	45	38	44	35	86	1095
3624	HD507_17		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.276513, 10.420772						164	202	2023-12-07	2023-12-07		51	24	96	31	92	172	23	28	1096
3625	HD813_18		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.111438, 10.425966						164	202	2023-12-07	2023-12-07		51	24	96	31	85	172	23	28	1097
3626	HD1100_18		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.264114, 10.498423						164	202	2023-12-07	2023-12-07		51	24	96	31	85	172	23	28	1097
3627	HD1907_18		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.301974, 10.435816						164	202	2023-12-07	2023-12-07		51	24	96	31	85	172	23	28	1097
3628	HD736_19		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.000752, 10.430007						164	202	2023-12-07	2023-12-07		51	24	96	32	85	172	23	28	1100
3629	HD762_20		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.032395, 10.514494						164	202	2023-12-07	2023-12-07		51	24	96	32	85	91	23	28	1101
3630	HD1058_21		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2021	tick			51.276513, 10.420772						164	202	2023-12-07	2023-12-07		95	74	34	96	89	78	33	39	1102
3631	HD243_22		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2020	tick			51.33697, 10.365454	NB: mixed species alleles; clpX allele 35, recG allele 44 and rplB allele 35 are mostly found in B. valaisiana					164	2	2023-12-07	2024-10-29		99	35	81	91	88	44	35	33	1103
3632	HD1583_23		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2021	tick			51.276513, 10.420772						164	202	2023-12-07	2023-12-07		99	34	90	96	88	54	106	33	1104
3633	HD456_24		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		109	24	23	89	20	27	23	28	1105
3634	HD889_25		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.223905, 10.38078						164	202	2023-12-07	2023-12-07		109	24	23	89	20	28	23	29	1106
3635	HD1009_26		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.286835, 10.380136						164	202	2023-12-07	2023-12-07		109	24	23	89	98	27	23	28	1107
3636	HD1049_27		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		109	24	23	89	97	27	23	28	1108
3637	HD537_28		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.190705, 10.752565						164	202	2023-12-07	2023-12-07		109	24	23	31	96	27	23	28	1109
3638	HD605_29		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.223905, 10.38078						164	202	2023-12-07	2023-12-07		109	24	24	86	98	29	23	28	1110
3639	HD319_30		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.337154, 10.359276						164	202	2023-12-07	2023-12-07		109	24	96	31	22	30	23	30	1111
3640	HD449_31		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		109	24	96	31	22	27	23	30	1112
3641	HD459_32		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		109	24	96	31	22	172	23	28	1113
3642	HD1328_33		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.337154, 10.359276						164	202	2023-12-07	2023-12-07		109	24	96	31	22	30	23	30	1111
3643	HD1686_34		Germany	Europe	Hainich- Dün	Thuringia	Borrelia garinii	2021	tick			51.102838, 10.400852	NB: mixed species alleles as rplB allele 35 is mostly found in B. valaisiana					164	2	2023-12-07	2024-10-29		112	80	78	99	81	39	35	87	1115
3644	HD220_35		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.102838, 10.400852						164	202	2023-12-07	2023-12-07		114	24	23	31	22	92	23	28	1116
3645	HD460_36		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		114	24	23	31	119	30	23	29	1117
3646	HD463_37		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2020	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		114	24	23	31	92	30	23	30	1118
3647	HD983_38		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.337154, 10.359276						164	202	2023-12-07	2023-12-07		114	24	24	31	22	30	23	28	1119
3648	HD1037_39		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.273586, 10.41041						164	202	2023-12-07	2023-12-07		114	24	24	31	85	92	23	28	1120
3649	HD752_40		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			50.998095, 10.432946						164	202	2023-12-07	2023-12-07		36	24	24	31	22	27	23	30	1098
3650	HD850_41		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.219828, 10.411111						164	202	2023-12-07	2023-12-07		36	24	23	89	20	28	23	29	1099
3651	HD1099_42		Germany	Europe	Hainich- Dün	Thuringia	Borrelia afzelii	2021	tick			51.264114, 10.498423						164	202	2023-12-07	2023-12-07		36	24	23	31	85	27	23	28	1114
3652	S02		Canada	North America	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus								243	-1	2024-01-09	2024-03-05		2	2	1	2	2	2	2	2	16
3653	S03		Canada	North America	Fraser Valley	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes pacificus								243	-1	2024-01-09	2024-03-05		2	2	1	2	2	2	2	2	16
3654	S04		Canada	North America	Squamish	BC	Borrelia burgdorferi sensu stricto	1993	tick	Ixodes angustus								243	-1	2024-01-09	2024-03-05		4	4	3	3	3	21	6	3	43
